,dep,dest,geojson
0,Place_MontpellierMediterranee_Airport,Place_BastiaPoretta_Airport,"{""type"": ""LineString"", ""coordinates"": [[3.961389, 43.583333], [3.968056, 43.580833], [3.974722, 43.578333], [3.986389, 43.575278], [3.998333, 43.5725], [4.163333, 43.530556], [4.269167, 43.503889], [4.398889, 43.471111], [4.540278, 43.435278], [4.716944, 43.390556], [4.917222, 43.34], [4.928889, 43.336944], [5.159722, 43.276667], [5.333056, 43.231667], [5.729722, 43.229167], [5.828889, 43.228611], [6.023889, 43.226667], [6.601944, 43.219444], [6.841667, 43.346111], [6.893333, 43.373333], [7.3625, 43.327778], [7.621389, 43.301944], [8.303056, 43.170833], [8.434722, 43.145556], [8.626944, 43.118333], [8.759167, 43.099722], [9.059444, 43.057222], [9.083333, 43.053889], [9.395556, 42.978333], [9.488333, 42.955833], [9.603889, 42.927778], [9.574444, 42.847222], [9.568056, 42.829444], [9.542222, 42.758889], [9.526111, 42.714722], [9.513333, 42.679444], [9.506944, 42.661944], [9.474722, 42.573611], [9.484722, 42.55]]}"
1,Place_Bristol___Lulsgate,Place_TenerifeSur_ReinaSofia_Airport,"{""type"": ""LineString"", ""coordinates"": [[-2.719167, 51.382778], [-2.736111, 51.382778], [-2.787222, 51.382222], [-2.838333, 51.381944], [-2.866389, 51.366111], [-2.894722, 51.350278], [-2.998056, 51.2925], [-3.359722, 51.178611], [-3.362778, 51.161111], [-3.371944, 51.108889], [-3.384167, 51.039167], [-3.388611, 51.013056], [-3.398056, 50.957778], [-3.416944, 50.8475], [-3.423889, 50.809167], [-3.431944, 50.761667], [-3.448333, 50.666667], [-3.4525, 50.641389], [-3.463889, 50.574167], [-3.473333, 50.518611], [-3.493611, 50.398611], [-3.495556, 50.362778], [-3.505278, 50.184167], [-3.517222, 49.960556], [-3.529444, 49.737222], [-3.558333, 49.658611], [-3.638611, 49.44], [-3.728333, 49.195278], [-3.783056, 49.046944], [-3.808611, 48.976944], [-4.061667, 48.301944], [-4.184722, 47.957222], [-4.3125, 47.829444], [-4.524722, 47.591389], [-4.990556, 47.079167], [-5.408056, 46.612778], [-6.919722, 44.835278], [-7.012778, 44.698056], [-7.143889, 44.504444], [-8.926667, 41.872778], [-9.016111, 41.667778], [-9.161389, 41.334444], [-10.234444, 38.873333], [-11.448333, 35.966667], [-12.911667, 34.261111], [-13.836111, 33.149444], [-15.301667, 31.300833], [-15.850278, 30.433889], [-16.372778, 29.591389], [-16.990556, 28.928056], [-17.023056, 28.893333], [-17.094444, 28.816389], [-17.211667, 28.690833], [-17.263611, 28.635], [-17.315556, 28.579167], [-17.374167, 28.516389], [-17.439167, 28.446389], [-17.452222, 28.4325], [-17.375278, 28.389444], [-17.29, 28.341667], [-17.196111, 28.289167], [-17.170556, 28.274722], [-17.115, 28.234444], [-17.027778, 28.170833], [-16.877222, 28.061389], [-16.773056, 28.028889], [-16.687778, 28.0025], [-16.676389, 28.006667], [-16.647222, 28.017222], [-16.622222, 28.026389], [-16.604167, 28.033056], [-16.5725, 28.044444]]}"
2,Place_Valencia_Manises_Airport,Place_Bucuresti_HenriCoanda_Airport,"{""type"": ""LineString"", ""coordinates"": [[-0.481667, 39.489444], [-0.492222, 39.493611], [-0.534167, 39.510556], [-0.576389, 39.527222], [-0.566111, 39.531389], [-0.504722, 39.555833], [-0.453611, 39.576111], [-0.381944, 39.604722], [-0.340833, 39.621111], [-0.228333, 39.666111], [-0.207778, 39.674167], [-0.045278, 39.801944], [-0.004722, 39.833889], [0.046944, 39.870833], [0.15, 39.944444], [0.270278, 40.030556], [0.407778, 40.128889], [0.5625, 40.239722], [0.588333, 40.258056], [0.888333, 40.469167], [1.003056, 40.549722], [1.062222, 40.590833], [1.231667, 40.708611], [1.258056, 40.726944], [1.451944, 40.860833], [1.505833, 40.897778], [1.730278, 41.051389], [1.853056, 41.134722], [2.107778, 41.307222], [3.187222, 41.494444], [3.488611, 41.544722], [3.860278, 41.605556], [4.666667, 41.733333], [5.013333, 41.81], [5.396389, 42.157778], [5.709722, 42.438333], [6.180278, 42.853611], [6.601944, 43.219444], [6.841667, 43.346111], [6.893333, 43.373333], [7.23, 43.549167], [7.371111, 43.622222], [7.632778, 43.756944], [7.653056, 43.7675], [7.755278, 43.819444], [8.221111, 44.056111], [8.803611, 44.134722], [9.054722, 44.194722], [9.594167, 44.321667], [10.1625, 44.484167], [10.822222, 44.672778], [12.281389, 45.071111], [12.649722, 45.032778], [12.801944, 45.016944], [13.091389, 44.985833], [13.918056, 44.8925], [14.876111, 44.707222], [15.533056, 44.575], [16.143333, 44.448333], [16.305556, 44.413889], [16.593889, 44.351944], [16.816389, 44.303611], [17.661389, 44.115833], [19.105, 44.596389], [19.223889, 44.605833], [19.362778, 44.616944], [20.776667, 44.722778], [21.169444, 44.748889], [21.533333, 44.771667], [22.610556, 44.778611], [23.448889, 44.772222], [23.5125, 44.771667], [23.652222, 44.770833], [23.880833, 44.768889], [23.9825, 44.768333], [24.211111, 44.766389], [24.490556, 44.764444], [24.643056, 44.763333], [24.668333, 44.763056], [24.782222, 44.760833], [25.161389, 44.753889], [25.423889, 44.6325], [25.55, 44.574167], [25.623611, 44.540278], [25.698333, 44.545278], [25.823056, 44.553611], [25.922778, 44.560278], [26.085, 44.571111]]}"
